date,Num_changesets,Num_Objects
2011-08,68,10940
2011-09,190,12479
2011-10,36,538
2012-01,8,48
2012-02,3,10
2012-03,423,218469
2012-04,110,187936
2012-05,64,121086
2012-06,282,171921
2012-07,513,203592
2012-08,471,146111
2012-09,754,203517
2012-10,1016,113035
2012-11,577,50735
2012-12,20,5311
2013-01,58,14953
2013-02,567,165400
2013-03,828,128312
2013-04,151,32980
2013-05,1053,263356
2013-06,1632,310178
2013-07,1647,265461
2013-08,1381,293399
2013-09,992,182758
2013-10,1568,278888
2013-11,1853,330909
2013-12,2021,225555
2014-01,3776,373750
2014-02,1434,449248
2014-03,1880,399767
2014-04,1615,403167
2014-05,2068,374181
2014-06,1914,696051
2014-07,10702,349707
2014-08,10234,326894
2014-09,13667,334433
